gene_symbol,name,entrez_geneid,chr,chr_band,somatic,germline,tumour_types_somatic,tumour_types_germline,cancer_syndrome,tissue_type,molecular_genetics,mutation_types,translocation_partner,other_germline_mut,other_syndrome,synonyms
ABI1,abl-interactor 1,10006,10,10p11.2,yes,,AML,,,L,Dom,T,MLL,,,"ABI1,E3B1,ABI-1,SSH3BP1,10006"
ABL1,v-abl Abelson murine leukemia viral oncogene homolog 1,25,9,9q34.1,yes,,"CML, ALL, T-ALL",,,L,Dom,"T, Mis","BCR, ETV6, NUP214",,,"ABL1,p150,ABL,c-ABL,JTK7,bcr/abl,v-abl,P00519,25,ENSG00000097007"
ABL2,"c-abl oncogene 2, non-receptor tyrosine kinase",27,1,1q24-q25,yes,,AML,,,L,Dom,T,ETV6,,,"ABL2,ARG,RP11-177A2_3,ABLL,ENSG00000143322,P42684,27"
ACSL3,acyl-CoA synthetase long-chain family member 3,2181,2,2q36,yes,,prostate,,,E,Dom,T,ETV1,,,"2181,ASPM,PRO2194,ACS3,FACL3,O95573,ENSG00000123983,ACSL3"
AF15Q14,AF15q14 protein,57082,15,15q14,yes,,AML,,,L,Dom,T,MLL,,,"CASC5,AF15Q14,Q8NG31,D40,ENSG00000137812,57082"
AF1Q,ALL1-fused gene from chromosome 1q,10962,1,1q21,yes,,ALL,,,L,Dom,T,MLL,,,"MLLT11,Q13015,AF1Q,ENSG00000213190,10962"
AF3p21,"SH3 protein interacting with Nck, 90 kDa (ALL1 fused gene from 3p21)",51517,3,3p21,yes,,ALL,,,L,Dom,T,MLL,,,"Q9NZQ3,AF3P21,WISH,ORF1,WASLBP,SPIN90,ENSG00000213672,NCKIPSD,51517"
AF5q31,ALL1 fused gene from 5q31,27125,5,5q31,yes,,ALL,,,L,Dom,T,MLL,,,"27125,Q9UHB7,MCEF,AF5Q31,ENSG00000072364,AFF4"
AKAP9,A kinase (PRKA) anchor protein (yotiao) 9,10142,7,7q21-q22,yes,,papillary thyroid,,,E,Dom,T,BRAF,,,"KIAA0803,AKAP350,CG-NAP,MU-RMS-40_16A,PRKA9,YOTIAO,HYPERION,AKAP450,Q99996,ENSG00000127914,10142,AKAP9"
AKT1,v-akt murine thymoma viral oncogene homolog 1,207,14,14q32.32,yes,,"breast, colorectal, ovarian, NSCLC",,,E,Dom,Mis,,,,"P31749,AKT1_NEW,207,ENSG00000142208,AKT,MGC99656,PKB,PKB-ALPHA,PRKBA,RAC,RAC-ALPHA"
AKT2,v-akt murine thymoma viral oncogene homolog 2,208,19,19q13.1-q13.2,yes,,"ovarian, pancreatic",,,E,Dom,A,,,,"AKT2,PRKBB,P31751,RAC-BETA,ENSG00000105221,208,PKBBETA"
ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),217,12,12q24.2,yes,,leiomyoma,,,M,Dom,T,HMGA2,,,"ALDH2,ALDHI,ALDM,MGC1806,P05091,ALDH-E2,ENSG00000111275,217"
